Year,Status,Adult_Mortality,Alcohol,percentage_expenditure,BMI,Total_expenditure,Diphtheria,HIV_AIDS,GDP,Population,Income_composition_of_resources,Schooling,Health_Index,Life_expectancy
2011,Developing,93,1.57,835.0626827,64,7.12,81,0.1,8734.9653,4588368,0.758,13.2,0.475880041,75
2014,Developing,152,6.41,789.0772949,32.4,4.12,99,0.1,5941.8471,68416772,0.737,13.6,0.203275159,74.6
2013,Developed,68,11.82,90.58501176,56.6,11.14,95,0.1,554.71532,8479375,0.887,15.7,0.913846603,81.1
2014,Developed,135,0.01,1.576409172,59.9,5.57,94,0.1,12.27733,1998979,0.797,14.7,0.275401225,74.8
2002,Developing,192,5.93,27.63810304,2.2,3.7,96,0.7,296.54617,6473164,0.657,11.5,0.400974299,71.4
2012,Developed,58,7.67,343.123395,68.4,9.95,99,0.1,2193.8836,419455,0.821,14.1,0.89688432,81
2014,Developing,65,8.1,102.1902168,66.4,1.45,91,0.1,544.43376,35544564,0.912,15.9,0.001310833,82
2006,Developing,328,6.88,78.47020226,15.9,1.2,99,6.2,342.3656294,92658,0.404,9.3,0.381501949,57.6
2003,Developed,22,11.29,80.99710054,57.8,6.46,94,0.1,555.535669,3415213,0.78,15.8,0.48525777,71.6
2008,Developing,29,0.81,103.7277727,43.4,4.6,63,1.3,1178.72469,6787187,0.469,8.9,0.318106452,61.4
2005,Developing,214,2.02,64.39203443,55.1,3.61,96,0.1,3658.63832,821817,0.699,13.9,0.97155791,68.3
2011,Developing,91,5.63,91.26749779,29,5.3,99,0.1,5633.79616,134413,0.7,12.8,0.521041174,75.2
2008,Developing,97,4.27,39.22509728,26.5,4.59,97,0.1,3471.247547,1324655,0.672,11.9,0.734973511,74.5
2011,Developing,286,0.62,20.97991915,16.5,3.6,96,0.7,582.775532,447469,0.405,5,0.43798686,62.9
2004,Developed,24,12.1,76.36187737,58.1,5.67,94,0.1,676.966998,337775,0.792,16.3,0.090167369,71.6
2008,Developing,282,6.39,0.661540371,17.1,7.66,97,3.7,5.6687264,978169,0.438,10.4,0.418725742,68
2013,Developing,67,8.2,9733.228019,65.8,1.67,91,0.1,52413.72116,35155451,0.909,15.9,0.538889468,81.8
2008,Developing,386,9.3,105.5910629,21,4,53,5,1383.893354,1534739,0.481,9.2,0.726339663,59
2007,Developing,282,0.55,81.8405007,19,6.97,74,1.7,595.6368319,1367566,0.363,6.4,0.790229617,55
2010,Developed,76,11.2,7584.078579,59.9,11.25,95,0.1,41785.55691,8177693,0.907,16.7,0.152283412,81
2011,Developing,271,0.61,101.8113996,21.3,6.59,66,1.5,835.88998,1554989,0.404,7.5,0.149556239,56.8
2002,Developing,3,0.01,16.88735091,13,7.76,36,0.1,187.84595,21979923,0.341,6.2,0.96147489,56.2
2002,Developing,282,0.29,151.9755193,14.9,7.75,86,0.1,885.6382245,66399,0,8,0.060329707,62.5
2006,Developing,396,9.66,10.35779424,19.9,3.66,4,5.3,119.743286,14261494,0.466,9,0.090317264,49.8
2009,Developing,133,6.66,18.5314303,51.3,1.19,88,0.1,276.588512,3978,0.734,12.8,0.88307985,73.2
2008,Developing,23,1.93,43.03043312,14.9,4.34,7,0.3,991.484634,119714696,0.556,10.2,0.043089424,65.5
2012,Developing,127,3.92,41.88087712,52.1,6.48,87,0.1,572.14313,15419666,0.717,13.3,0.797638948,75.5
2012,Developing,112,1.54,20.75120211,63.7,5.24,97,0.1,1172.3843,74569867,0.75,14.3,0.073435114,74.8
2007,Developing,23,2.83,52.30172215,5.8,6.32,99,0.3,334.83817,683475,0.657,12.9,0.446108267,71.2
2012,Developing,239,0.01,9.774676411,19.5,7.68,98,0.7,678.796973,1788853,0.475,10.5,0.775701574,64.6
2006,Developing,154,0.85,105.6337264,45.3,6.17,78,0.1,2473.85776,848455,0.682,10.7,0.462231327,69.2
2005,Developing,135,9.6,503.1115947,53.9,8.7,98,0.1,3528.1318,744769,0.73,13.2,0.28298101,73
2011,Developing,19,2.12,60.18591771,17,5.64,88,0.3,882.491462,14537886,0.533,10.7,0.320667686,67
2004,Developing,21,0.32,44.12059646,51.9,5.61,74,0.1,1391.816923,2631669,0.603,9.8,0.213801898,67.2
2012,Developing,411,0.01,54.56033696,22.7,11.24,91,0.9,561.8984239,676613,0.401,9.1,0.401121684,49.7
2007,Developing,295,6.78,7.409771603,16.5,8.49,97,5,44.853339,944742,0.424,10.1,0.119274909,59.6
2014,Developed,55,8.49,409.6000248,69.2,9.75,99,0.1,2618.92599,427364,0.847,14.3,0.636202129,81.4
2012,Developing,76,8.2,2528.992935,64.9,9.24,99,0.1,22242.68193,114511,0.858,16.8,0.613559254,84
2013,Developing,184,2.42,653.6925016,54.7,6.95,92,0.2,3895.664491,625777,0.675,13.2,0.879537506,73
2006,Developing,564,5.53,437.0802438,28.2,6.81,87,43.7,2937.36723,112514,0.502,9.9,0.199414429,47.8
2009,Developing,491,1.16,7.915071248,17.3,1.18,93,14.9,42.7379657,1471462,0.415,9.9,0.457155368,51.5
2010,Developing,154,3.38,302.7045411,5.2,6.58,98,0.1,1526.497938,5737723,0.614,11.4,0.247467271,73.2
2013,Developing,228,2.93,63.7481117,46.7,2.12,98,0.1,734.42525,5366277,0.678,10.7,0.784036061,65.4
2012,Developing,11,0.01,648.1331781,6.2,7.25,94,0.1,6586.71929,6261,0.797,15.1,0.558933063,75.6
2006,Developing,165,3.73,502.3844946,28.6,4.38,97,0.1,5695.969327,1233996,0.713,13.4,0.168005482,71.8
2011,Developing,188,6.64,605.6286892,47.8,5.61,95,0.5,4516.24675,329192,0.7,12.4,0.823093263,69.4
2009,Developing,215,2.35,37.88466056,43.4,1.88,96,0.1,436.459223,5795,0,10.5,0.937499185,65.6
